,order,file,ave_TM_CS,HF_energy,EXP,% ERROR,Rel_E (kcal/mol),,,,Mol Fraction,,,,<CCS>,%ERROR
19,962,conf-962,246.8527,-2166.416538,234.5,5.00,11.63,19.65,0.00,1.00,0.00,0.00,0.00,250.96,250.86,6.52
16,876,conf-876,250.8554,-2166.435073,,6.52,0.00,0.00,1.00,,1.00,250.86,250.75,,,
15,797,conf-797,253.1602,-2166.427701,,7.37,4.63,7.82,0.00,,0.00,0.10,0.10,,,
7,399,conf-399,253.4805,-2166.4132,,7.49,13.73,23.19,0.00,,0.00,0.00,0.00,,,
0,90,conf-90,260.6405,-2166.398788,,10.03,22.77,38.47,0.00,,0.00,0.00,0.00,,,
14,684,conf-684,266.2531,-2166.409407,,11.93,16.11,27.21,0.00,,0.00,0.00,0.00,,,
10,474,conf-474,266.4786,-2166.403585,,12.00,19.76,33.39,0.00,,0.00,0.00,0.00,,,
5,234,conf-234,266.6531,-2166.407244,,12.06,17.46,29.51,0.00,,0.00,0.00,0.00,,,
18,883,conf-883,268.1682,-2166.392787,,12.55,26.53,44.84,0.00,,0.00,0.00,0.00,,,
6,304,conf-304,268.3206,-2166.414594,,12.60,12.85,21.71,0.00,,0.00,0.00,0.00,,,
9,472,conf-472,270.2143,-2166.392128,,13.22,26.95,45.53,0.00,,0.00,0.00,0.00,,,
1,112,conf-112,272.4363,-2166.413566,,13.92,13.50,22.80,0.00,,0.00,0.00,0.00,,,
4,217,conf-217,275.6955,-2166.389381,,14.94,28.67,48.45,0.00,,0.00,0.00,0.00,,,
17,879,conf-879,282.1829,-2166.398956,,16.90,22.66,38.29,0.00,,0.00,0.00,0.00,,,
2,121,conf-121,282.192,-2166.418115,,16.90,10.64,17.98,0.00,,0.00,0.00,0.00,,,
13,669,conf-669,284.8152,-2166.394439,,17.67,25.50,43.08,0.00,,0.00,0.00,0.00,,,
3,156,conf-156,294.0968,-2166.388536,,20.26,29.20,49.34,0.00,,0.00,0.00,0.00,,,
12,641,conf-641,297.4701,-2166.364601,,21.17,44.22,74.72,0.00,,0.00,0.00,0.00,,,
8,420,conf-420,300.2401,-2166.376553,,21.90,36.72,62.05,0.00,,0.00,0.00,0.00,,,
11,549,conf-549,312.5827,-2166.363981,,24.98,44.61,75.38,0.00,,0.00,0.00,0.00,,,
